begin,open,close,high,low,value,volume,end,return,volatility,volume_zscore
2026-06-29 10:20:00,2257.55,2258.45,2262.6,2256.8,0,5367,2026-06-29 10:29:59,0.0003765060240963347,0.0011802514521589487,1.196144828593361
2026-06-29 10:30:00,2258.5,2250.95,2268.0,2250.75,0,10596,2026-06-29 10:39:59,-0.003320861652903573,0.0012563202865092532,2.5737226951868255
2026-06-29 10:40:00,2251.05,2245.1,2255.1,2243.3,0,15393,2026-06-29 10:49:59,-0.0025989026855327557,0.0012958986248766426,3.3920276704643877
2026-06-29 10:50:00,2245.4,2255.5,2255.7,2244.0,0,10911,2026-06-29 10:59:59,0.004632310364794501,0.0014772083821281226,2.099093251284461
2026-06-29 11:00:00,2255.65,2263.0,2282.0,2253.55,0,36743,2026-06-29 11:09:59,0.003325205054311775,0.0015620750455865593,5.298216346932505
2026-06-29 11:10:00,2263.75,2288.7,2299.65,2263.25,0,37630,2026-06-29 11:19:59,0.01135660627485624,0.002264168417648162,4.225550174329667
2026-06-29 11:20:00,2288.55,2290.0,2294.35,2284.2,0,16071,2026-06-29 11:29:59,0.0005680080394985243,0.0022656024608077316,1.4657514452549587
2026-06-29 11:30:00,2289.9,2307.9,2315.75,2289.9,0,21130,2026-06-29 11:39:59,0.007816593886462941,0.002520052226981927,1.9547915522713222
2026-06-29 11:40:00,2307.85,2300.45,2313.0,2299.95,0,15521,2026-06-29 11:49:59,-0.0032280428094806357,0.0025653771916306317,1.2424193136083572
2026-06-29 11:50:00,2300.8,2308.2,2310.55,2300.0,0,11913,2026-06-29 11:59:59,0.0033689060835924156,0.002606600536379851,0.7939106577373188
2026-06-29 12:00:00,2308.45,2309.95,2323.7,2308.45,0,15967,2026-06-29 12:09:59,0.0007581665366953594,0.0026075967484525922,1.2108523350758642
2026-06-29 12:10:00,2310.2,2303.7,2312.2,2303.05,0,9649,2026-06-29 12:19:59,-0.0027056862702655726,0.002639369013730778,0.46836240907677434
2026-06-29 12:20:00,2304.0,2311.0,2311.05,2303.2,0,5220,2026-06-29 12:29:59,0.003168815383947532,0.0026735209398441903,-0.05019264835093543
2026-06-29 12:30:00,2311.0,2302.15,2312.45,2299.05,0,8054,2026-06-29 12:39:59,-0.003829511034184274,0.002733433964350013,0.2576932051511765
2026-06-29 12:40:00,2302.55,2298.0,2303.35,2292.1,0,8829,2026-06-29 12:49:59,-0.0018026627283191932,0.0027468363589154368,0.3278527334998776
2026-06-29 12:50:00,2297.75,2300.9,2303.85,2293.6,0,5311,2026-06-29 12:59:59,0.0012619669277633694,0.002751062927754236,-0.09164989752855711
2026-06-29 13:00:00,2301.55,2298.1,2306.15,2293.3,0,6520,2026-06-29 13:09:59,-0.0012169151201704143,0.002756363047263856,0.03401146810924904
2026-06-29 13:10:00,2298.6,2294.4,2299.35,2291.75,0,4487,2026-06-29 13:19:59,-0.0016100256733823093,0.0027662073651778785,-0.21308485960362403
2026-06-29 13:20:00,2293.5,2298.15,2304.2,2293.5,0,5657,2026-06-29 13:29:59,0.0016344142259414607,0.0027701796160070837,-0.08888178562339381
2026-06-29 13:30:00,2298.3,2300.25,2307.8,2297.05,0,4956,2026-06-29 13:39:59,0.0009137784739898791,0.002772512954389204,-0.18415879128285495
2026-06-29 13:40:00,2300.05,2296.75,2301.1,2294.25,0,2958,2026-06-29 13:49:59,-0.0015215737419845832,0.0027822340944624047,-0.4295347002216735
2026-06-29 13:50:00,2296.7,2286.0,2297.9,2286.0,0,9472,2026-06-29 13:59:59,-0.0046805268313921955,0.0028630760344684355,0.32503311077900476
2026-06-29 14:00:00,2286.0,2282.95,2288.35,2276.4,0,11816,2026-06-29 14:09:59,-0.001334208223972122,0.0028693040467494654,0.5793812663085024
2026-06-29 14:10:00,2282.3,2283.55,2287.9,2278.05,0,6484,2026-06-29 14:19:59,0.00026281784533188635,0.002869584779414588,-0.07600086670446081
2026-06-29 14:20:00,2283.4,2287.25,2287.25,2283.0,0,3245,2026-06-29 14:29:59,0.0016202842066079803,0.0028783921431001407,-0.477298604709414
2026-06-29 14:30:00,2287.15,2282.5,2290.85,2281.3,0,6035,2026-06-29 14:39:59,-0.002076729697234714,0.002893653691264517,-0.15384998244710252
2026-06-29 14:40:00,2283.25,2284.05,2287.85,2282.0,0,3489,2026-06-29 14:49:59,0.0006790799561884331,0.0028951037165881573,-0.47470852446413947
2026-06-29 14:50:00,2284.45,2290.2,2290.5,2284.2,0,2319,2026-06-29 14:59:59,0.002692585538845327,0.002919789949414218,-0.6238623276838874
2026-06-29 15:00:00,2289.7,2302.0,2302.95,2289.25,0,9679,2026-06-29 15:09:59,0.005152388437691169,0.0030053025656693352,0.2615172952743476
2026-06-29 15:10:00,2301.85,2297.2,2303.25,2295.85,0,3355,2026-06-29 15:19:59,-0.0020851433536056563,0.0030219056727490063,-0.5344190114443184
2026-06-29 15:20:00,2297.85,2297.1,2301.05,2295.2,0,3486,2026-06-29 15:29:59,-4.3531255441320305e-05,0.003021972836163314,-0.530133748307787
2026-06-29 15:30:00,2297.0,2299.6,2300.95,2296.1,0,4775,2026-06-29 15:39:59,0.0010883287623524307,0.0030250787686851672,-0.3829445481545955
2026-06-29 15:40:00,2300.05,2307.35,2312.65,2300.05,0,12436,2026-06-29 15:49:59,0.0033701513306660935,0.003058747943484643,0.5605811195784024
2026-06-29 15:50:00,2307.6,2313.8,2319.5,2305.0,0,8693,2026-06-29 15:59:59,0.002795414653173678,0.003080592523183838,0.06181960890274541
2026-06-29 16:00:00,2313.7,2309.0,2319.6,2308.0,0,8231,2026-06-29 16:09:59,-0.00207450946494947,0.0030979111142096054,-0.0190207573641332
2026-06-29 16:10:00,2309.2,2313.75,2315.2,2308.25,0,4343,2026-06-29 16:19:59,0.0020571676050238352,0.0031081635898992303,-0.5414948806506719
2026-06-29 16:20:00,2313.0,2312.4,2315.0,2308.8,0,3361,2026-06-29 16:29:59,-0.0005834683954618614,0.00311037890909973,-0.6845628716275374
2026-06-29 16:30:00,2313.15,2303.75,2317.5,2303.25,0,6277,2026-06-29 16:39:59,-0.003740702300640053,0.0031599026666038576,-0.3177377046633414
2026-06-29 16:40:00,2303.95,2310.05,2312.8,2303.15,0,3108,2026-06-29 16:49:59,0.0027346717308736057,0.0031801676272138727,-0.7566392095352964
2026-06-29 16:50:00,2310.65,2316.4,2319.0,2310.2,0,6157,2026-06-29 16:59:59,0.0027488582498214065,0.0031996411579659715,-0.36536253102009886
2026-06-29 17:00:00,2317.05,2313.3,2318.45,2310.0,0,4509,2026-06-29 17:09:59,-0.0013382835434294638,0.003207763740042303,-0.6085262145882308
2026-06-29 17:10:00,2313.25,2315.4,2317.45,2311.05,0,2924,2026-06-29 17:19:59,0.0009077940604331758,0.0032064291361644805,-0.8426161105574846
2026-06-29 17:20:00,2315.6,2330.6,2337.0,2315.0,0,25299,2026-06-29 17:29:59,0.00656474043361821,0.0031460656314009562,2.1434687953710996
2026-06-29 17:30:00,2331.4,2334.95,2337.0,2330.25,0,11772,2026-06-29 17:39:59,0.0018664721530936568,0.0031025604034359256,0.33145869165366243
2026-06-29 17:40:00,2334.95,2336.7,2343.1,2334.85,0,18138,2026-06-29 17:49:59,0.0007494807169319273,0.0030993323997681186,1.1422623279703377
2026-06-29 17:50:00,2336.6,2331.5,2341.55,2329.65,0,10428,2026-06-29 17:59:59,-0.0022253605512045915,0.0031248549476462165,0.12257711513690807
2026-06-29 18:00:00,2332.15,2340.0,2342.95,2332.15,0,10688,2026-06-29 18:09:59,0.0036457216384302438,0.0031542734993959174,0.14184449321521947
2026-06-29 18:10:00,2340.3,2338.95,2341.7,2336.05,0,2647,2026-06-29 18:19:59,-0.00044871794871803594,0.00314144383018702,-0.9114997195001341
2026-06-29 18:20:00,2338.65,2332.35,2339.95,2331.9,0,6593,2026-06-29 18:29:59,-0.002821779003398972,0.003175513663667215,-0.3887596663664544
2026-06-29 18:30:00,2332.7,2350.2,2356.8,2332.7,0,14907,2026-06-29 18:39:59,0.007653225287799881,0.0033180480140850882,0.6839671188968104
2026-06-29 18:40:00,2350.25,2347.1,2352.8,2343.25,0,7370,2026-06-29 18:49:59,-0.0013190366777294793,0.003331203557650821,-0.30651489019815165
2026-06-29 18:50:00,2347.1,2348.45,2352.5,2344.0,0,4394,2026-06-29 18:59:59,0.0005751778790847872,0.003278573970751992,-0.6767693538729027
2026-06-29 19:00:00,2349.3,2345.75,2350.35,2344.05,0,2371,2026-06-29 19:09:59,-0.0011496944793373265,0.003253740408269212,-0.9041295540780765
2026-06-29 19:10:00,2345.45,2343.5,2348.0,2343.5,0,1971,2026-06-29 19:19:59,-0.0009591814984546421,0.003218130136699955,-0.9249437656393311
2026-06-29 19:20:00,2343.75,2345.0,2346.8,2341.0,0,2659,2026-06-29 19:29:59,0.0006400682739491348,0.0031969685516295442,-0.8652027309265032
2026-06-29 19:30:00,2345.6,2346.65,2349.6,2344.55,0,1941,2026-06-29 19:39:59,0.0007036247334755164,0.0028043033606421713,-1.0974558851796838
2026-06-29 19:40:00,2347.8,2353.55,2356.0,2347.15,0,6527,2026-06-29 19:49:59,0.00294036179234225,0.0028253973037325863,-0.2004869080965495
2026-06-29 19:50:00,2354.05,2355.6,2358.95,2350.75,0,5609,2026-06-29 19:59:59,0.0008710246223788687,0.002624517554493405,-0.34355497003540625
